pickup_zone,Delhi Core,Delhi East,Delhi North,Delhi South,Delhi West,Faridabad,Gurgaon,Gurgaon Peripheral,Noida,Outer NCR
Delhi Core,6842,3305,4270,4854,3492,182,3759,2859,1829,1116
Delhi East,3393,1429,1993,2177,1650,86,1722,1291,840,484
Delhi North,4249,2067,2485,2892,2186,106,2255,1695,1190,684
Delhi South,4922,2231,2949,3140,2371,137,2468,1862,1283,777
Delhi West,3691,1695,2111,2338,1720,99,1874,1369,912,538
Faridabad,182,83,137,108,94,0,96,60,52,19
Gurgaon,3605,1757,2217,2546,1819,95,1829,1456,971,597
Gurgaon Peripheral,2769,1364,1689,1917,1397,78,1479,1026,751,408
Noida,1779,854,1145,1234,953,55,939,761,497,278
Outer NCR,1113,502,690,738,534,26,571,441,278,142
